Клиент,Участник компании,Кампания,Дата добавления в компанию,Дата статуса,Вид компании,Отклик
27,531,14,28.02.2023,12.03.2023,Viber,3
98,532,43,27.04.2023,29.04.2023,MobPush,3
31,533,27,26.03.2023,06.04.2023,Email,2
85,534,20,12.03.2023,13.03.2023,SMS,0
26,535,12,24.02.2023,02.03.2023,Viber,2
65,536,26,24.03.2023,29.03.2023,Email,1
77,537,36,13.04.2023,20.04.2023,WebPush,2
6,538,42,25.04.2023,06.05.2023,WebPush,0
28,539,19,10.03.2023,19.03.2023,SMS,1
35,540,21,14.03.2023,28.03.2023,SMS,2
87,541,25,22.03.2023,04.04.2023,Email,1
57,542,3,06.02.2023,12.02.2023,Email,0
13,543,48,07.05.2023,13.05.2023,MobPush,3
8,544,3,06.02.2023,07.02.2023,Email,0
43,545,46,03.05.2023,07.05.2023,MobPush,1
18,546,36,13.04.2023,28.04.2023,WebPush,0
59,547,41,23.04.2023,06.05.2023,WebPush,2
47,548,2,04.02.2023,14.02.2023,SMS,1
70,549,38,17.04.2023,25.04.2023,WebPush,2
85,550,47,05.05.2023,10.05.2023,MobPush,3
64,551,5,10.02.2023,18.02.2023,MobPush,0
82,552,36,13.04.2023,24.04.2023,WebPush,2
88,553,21,14.03.2023,28.03.2023,SMS,2
10,554,26,24.03.2023,08.04.2023,Email,2
78,555,39,19.04.2023,03.05.2023,WebPush,3
66,556,45,01.05.2023,15.05.2023,MobPush,2
42,557,10,20.02.2023,03.03.2023,Viber,3
36,558,36,13.04.2023,28.04.2023,WebPush,3
80,559,33,07.04.2023,08.04.2023,Email,2
53,560,46,03.05.2023,11.05.2023,MobPush,3
64,561,22,16.03.2023,24.03.2023,SMS,0
82,562,38,17.04.2023,20.04.2023,WebPush,1
81,563,50,11.05.2023,15.05.2023,MobPush,3
91,564,44,29.04.2023,12.05.2023,MobPush,2
85,565,19,10.03.2023,18.03.2023,SMS,2
28,566,26,24.03.2023,07.04.2023,Email,2
84,567,48,07.05.2023,13.05.2023,MobPush,0
17,568,8,16.02.2023,27.02.2023,Viber,2
33,569,27,26.03.2023,03.04.2023,Email,3
14,570,17,06.03.2023,17.03.2023,SMS,0
32,571,11,22.02.2023,09.03.2023,Viber,0
33,572,12,24.02.2023,25.02.2023,Viber,2
33,573,20,12.03.2023,23.03.2023,SMS,2
1,574,22,16.03.2023,19.03.2023,SMS,3
15,575,14,28.02.2023,05.03.2023,Viber,3
99,576,29,30.03.2023,02.04.2023,Email,0
50,577,23,18.03.2023,19.03.2023,SMS,1
1,578,41,23.04.2023,27.04.2023,WebPush,0
17,579,38,17.04.2023,29.04.2023,WebPush,2
78,580,3,06.02.2023,18.02.2023,Email,0
45,581,48,07.05.2023,18.05.2023,MobPush,1
3,582,27,26.03.2023,27.03.2023,Email,2
9,583,18,08.03.2023,10.03.2023,SMS,1
69,584,27,26.03.2023,05.04.2023,Email,1
50,585,23,18.03.2023,29.03.2023,SMS,2
13,586,48,07.05.2023,13.05.2023,MobPush,1
61,587,26,24.03.2023,29.03.2023,Email,3
15,588,34,09.04.2023,16.04.2023,WebPush,1
4,589,4,08.02.2023,10.02.2023,WebPush,1
50,590,42,25.04.2023,30.04.2023,WebPush,3
7,591,26,24.03.2023,02.04.2023,Email,1
24,592,22,16.03.2023,20.03.2023,SMS,0
96,593,6,12.02.2023,24.02.2023,Viber,2
19,594,18,08.03.2023,17.03.2023,SMS,1
44,595,11,22.02.2023,23.02.2023,Viber,2
86,596,5,10.02.2023,19.02.2023,MobPush,3
59,597,21,14.03.2023,15.03.2023,SMS,0
25,598,45,01.05.2023,10.05.2023,MobPush,3
49,599,23,18.03.2023,21.03.2023,SMS,3
7,600,9,18.02.2023,23.02.2023,Viber,1
30,601,30,01.04.2023,15.04.2023,Email,1
80,602,46,03.05.2023,13.05.2023,MobPush,0
98,603,5,10.02.2023,13.02.2023,MobPush,3
57,604,10,20.02.2023,24.02.2023,Viber,2
15,605,22,16.03.2023,27.03.2023,SMS,0
3,606,12,24.02.2023,26.02.2023,Viber,3
46,607,31,03.04.2023,07.04.2023,Email,3
71,608,36,13.04.2023,16.04.2023,WebPush,0
51,609,18,08.03.2023,20.03.2023,SMS,3
95,610,32,05.04.2023,09.04.2023,Email,2
72,611,15,02.03.2023,06.03.2023,Viber,0
4,612,4,08.02.2023,10.02.2023,WebPush,0
40,613,28,28.03.2023,05.04.2023,Email,0
39,614,36,13.04.2023,17.04.2023,WebPush,0
21,615,48,07.05.2023,21.05.2023,MobPush,3
8,616,30,01.04.2023,14.04.2023,Email,0
99,617,14,28.02.2023,04.03.2023,Viber,0
58,618,32,05.04.2023,10.04.2023,Email,0
92,619,24,20.03.2023,22.03.2023,SMS,1
71,620,38,17.04.2023,02.05.2023,WebPush,2
72,621,9,18.02.2023,25.02.2023,Viber,3
43,622,27,26.03.2023,03.04.2023,Email,1
77,623,18,08.03.2023,22.03.2023,SMS,3
99,624,43,27.04.2023,09.05.2023,MobPush,1
24,625,27,26.03.2023,07.04.2023,Email,1
48,626,34,09.04.2023,19.04.2023,WebPush,2
69,627,26,24.03.2023,30.03.2023,Email,3
52,628,16,04.03.2023,10.03.2023,SMS,2
11,629,12,24.02.2023,11.03.2023,Viber,2
22,630,27,26.03.2023,30.03.2023,Email,0
33,631,6,12.02.2023,20.02.2023,Viber,1
48,632,48,07.05.2023,22.05.2023,MobPush,2
65,633,19,10.03.2023,12.03.2023,SMS,0
70,634,21,14.03.2023,18.03.2023,SMS,2
17,635,15,02.03.2023,06.03.2023,Viber,2
89,636,10,20.02.2023,04.03.2023,Viber,2
40,637,30,01.04.2023,13.04.2023,Email,2
84,638,50,11.05.2023,20.05.2023,MobPush,2
25,639,15,02.03.2023,09.03.2023,Viber,3
18,640,10,20.02.2023,01.03.2023,Viber,3
79,641,9,18.02.2023,20.02.2023,Viber,1
27,642,16,04.03.2023,16.03.2023,SMS,1
84,643,6,12.02.2023,21.02.2023,Viber,2
94,644,48,07.05.2023,22.05.2023,MobPush,0
26,645,27,26.03.2023,06.04.2023,Email,1
16,646,47,05.05.2023,08.05.2023,MobPush,2
73,647,26,24.03.2023,02.04.2023,Email,1
82,648,37,15.04.2023,19.04.2023,WebPush,2
77,649,4,08.02.2023,15.02.2023,WebPush,3
70,650,39,19.04.2023,01.05.2023,WebPush,0
17,651,46,03.05.2023,17.05.2023,MobPush,1
37,652,46,03.05.2023,04.05.2023,MobPush,0
71,653,1,02.02.2023,06.02.2023,Viber,1
93,654,39,19.04.2023,28.04.2023,WebPush,0
57,655,3,06.02.2023,14.02.2023,Email,0
39,656,44,29.04.2023,02.05.2023,MobPush,3
72,657,4,08.02.2023,12.02.2023,WebPush,3
71,658,49,09.05.2023,10.05.2023,MobPush,1
9,659,25,22.03.2023,06.04.2023,Email,3
70,660,26,24.03.2023,06.04.2023,Email,0
31,661,30,01.04.2023,08.04.2023,Email,0
64,662,43,27.04.2023,12.05.2023,MobPush,1
56,663,43,27.04.2023,11.05.2023,MobPush,2
82,664,18,08.03.2023,15.03.2023,SMS,2
45,665,26,24.03.2023,06.04.2023,Email,3
10,666,33,07.04.2023,09.04.2023,Email,3
4,667,27,26.03.2023,05.04.2023,Email,1
55,668,12,24.02.2023,11.03.2023,Viber,0
14,669,7,14.02.2023,26.02.2023,Viber,3
40,670,10,20.02.2023,03.03.2023,Viber,3
30,671,48,07.05.2023,13.05.2023,MobPush,2
1,672,2,04.02.2023,17.02.2023,SMS,2
71,673,18,08.03.2023,21.03.2023,SMS,0
81,674,24,20.03.2023,26.03.2023,SMS,2
41,675,47,05.05.2023,16.05.2023,MobPush,3
30,676,20,12.03.2023,21.03.2023,SMS,3
28,677,30,01.04.2023,07.04.2023,Email,1
76,678,10,20.02.2023,22.02.2023,Viber,1
75,679,27,26.03.2023,04.04.2023,Email,2
64,680,48,07.05.2023,11.05.2023,MobPush,1
78,681,23,18.03.2023,29.03.2023,SMS,0
46,682,1,02.02.2023,08.02.2023,Viber,2
88,683,44,29.04.2023,06.05.2023,MobPush,3
38,684,14,28.02.2023,04.03.2023,Viber,2
46,685,36,13.04.2023,23.04.2023,WebPush,1
4,686,35,11.04.2023,13.04.2023,WebPush,3
57,687,25,22.03.2023,27.03.2023,Email,1
13,688,29,30.03.2023,14.04.2023,Email,0
19,689,2,04.02.2023,14.02.2023,SMS,2
88,690,23,18.03.2023,19.03.2023,SMS,2
81,691,24,20.03.2023,22.03.2023,SMS,2
87,692,12,24.02.2023,28.02.2023,Viber,3
92,693,11,22.02.2023,06.03.2023,Viber,2
92,694,5,10.02.2023,20.02.2023,MobPush,3
11,695,17,06.03.2023,18.03.2023,SMS,3
62,696,6,12.02.2023,25.02.2023,Viber,1
81,697,43,27.04.2023,04.05.2023,MobPush,3
62,698,17,06.03.2023,10.03.2023,SMS,1
67,699,11,22.02.2023,28.02.2023,Viber,2
29,700,44,29.04.2023,14.05.2023,MobPush,1
85,701,50,11.05.2023,19.05.2023,MobPush,3
1,702,34,09.04.2023,10.04.2023,WebPush,2
70,703,23,18.03.2023,30.03.2023,SMS,2
80,704,43,27.04.2023,12.05.2023,MobPush,1
77,705,35,11.04.2023,18.04.2023,WebPush,0
34,706,4,08.02.2023,17.02.2023,WebPush,0
31,707,13,26.02.2023,08.03.2023,Viber,1
67,708,21,14.03.2023,15.03.2023,SMS,3
85,709,13,26.02.2023,28.02.2023,Viber,3
88,710,26,24.03.2023,02.04.2023,Email,0
49,711,38,17.04.2023,20.04.2023,WebPush,2
8,712,45,01.05.2023,03.05.2023,MobPush,1
65,713,28,28.03.2023,11.04.2023,Email,1
40,714,19,10.03.2023,15.03.2023,SMS,2
40,715,18,08.03.2023,22.03.2023,SMS,0
31,716,40,21.04.2023,04.05.2023,WebPush,2
22,717,31,03.04.2023,11.04.2023,Email,1
76,718,50,11.05.2023,18.05.2023,MobPush,0
5,719,30,01.04.2023,11.04.2023,Email,2
39,720,4,08.02.2023,18.02.2023,WebPush,0
16,721,16,04.03.2023,17.03.2023,SMS,3
42,722,7,14.02.2023,25.02.2023,Viber,1
40,723,5,10.02.2023,22.02.2023,MobPush,0
87,724,10,20.02.2023,01.03.2023,Viber,2
20,725,43,27.04.2023,30.04.2023,MobPush,1
68,726,32,05.04.2023,08.04.2023,Email,0
49,727,29,30.03.2023,08.04.2023,Email,1
49,728,29,30.03.2023,07.04.2023,Email,3
20,729,38,17.04.2023,02.05.2023,WebPush,3
32,730,1,02.02.2023,10.02.2023,Viber,1
92,731,32,05.04.2023,10.04.2023,Email,3
66,732,48,07.05.2023,20.05.2023,MobPush,0
30,733,17,06.03.2023,14.03.2023,SMS,2
9,734,11,22.02.2023,25.02.2023,Viber,1
73,735,2,04.02.2023,07.02.2023,SMS,0
75,736,35,11.04.2023,19.04.2023,WebPush,3
88,737,20,12.03.2023,13.03.2023,SMS,3
13,738,27,26.03.2023,28.03.2023,Email,0
32,739,11,22.02.2023,04.03.2023,Viber,3
20,740,7,14.02.2023,19.02.2023,Viber,3
33,741,42,25.04.2023,06.05.2023,WebPush,1
96,742,21,14.03.2023,26.03.2023,SMS,2
26,743,47,05.05.2023,06.05.2023,MobPush,1
66,744,40,21.04.2023,25.04.2023,WebPush,1
4,745,30,01.04.2023,08.04.2023,Email,2
88,746,16,04.03.2023,16.03.2023,SMS,0
90,747,45,01.05.2023,06.05.2023,MobPush,0
55,748,6,12.02.2023,22.02.2023,Viber,2
99,749,50,11.05.2023,15.05.2023,MobPush,3
94,750,35,11.04.2023,14.04.2023,WebPush,0
58,751,23,18.03.2023,30.03.2023,SMS,1
56,752,17,06.03.2023,20.03.2023,SMS,0
34,753,21,14.03.2023,19.03.2023,SMS,3
94,754,7,14.02.2023,17.02.2023,Viber,2
93,755,24,20.03.2023,30.03.2023,SMS,3
92,756,8,16.02.2023,25.02.2023,Viber,2
90,757,29,30.03.2023,08.04.2023,Email,3
27,758,48,07.05.2023,16.05.2023,MobPush,0
88,759,38,17.04.2023,22.04.2023,WebPush,3
41,760,27,26.03.2023,27.03.2023,Email,0
89,761,33,07.04.2023,13.04.2023,Email,0
90,762,25,22.03.2023,04.04.2023,Email,2
57,763,34,09.04.2023,19.04.2023,WebPush,3
52,764,25,22.03.2023,25.03.2023,Email,3
49,765,24,20.03.2023,02.04.2023,SMS,0
25,766,17,06.03.2023,11.03.2023,SMS,1
3,767,32,05.04.2023,13.04.2023,Email,1
44,768,48,07.05.2023,21.05.2023,MobPush,0
92,769,7,14.02.2023,26.02.2023,Viber,2
84,770,3,06.02.2023,08.02.2023,Email,3
36,771,36,13.04.2023,16.04.2023,WebPush,1
72,772,39,19.04.2023,04.05.2023,WebPush,1
15,773,1,02.02.2023,17.02.2023,Viber,2
70,774,2,04.02.2023,09.02.2023,SMS,2
72,775,36,13.04.2023,28.04.2023,WebPush,2
20,776,17,06.03.2023,11.03.2023,SMS,3
26,777,26,24.03.2023,03.04.2023,Email,1
38,778,16,04.03.2023,08.03.2023,SMS,2
62,779,9,18.02.2023,23.02.2023,Viber,3
92,780,37,15.04.2023,26.04.2023,WebPush,1
62,781,48,07.05.2023,14.05.2023,MobPush,1
54,782,5,10.02.2023,11.02.2023,MobPush,0
23,783,49,09.05.2023,23.05.2023,MobPush,3
21,784,14,28.02.2023,10.03.2023,Viber,1
27,785,37,15.04.2023,22.04.2023,WebPush,0
15,786,10,20.02.2023,24.02.2023,Viber,0
26,787,23,18.03.2023,24.03.2023,SMS,1
83,788,7,14.02.2023,26.02.2023,Viber,0
47,789,16,04.03.2023,07.03.2023,SMS,0
49,790,28,28.03.2023,30.03.2023,Email,1
49,791,17,06.03.2023,17.03.2023,SMS,2
23,792,22,16.03.2023,17.03.2023,SMS,0
69,793,1,02.02.2023,03.02.2023,Viber,2
34,794,16,04.03.2023,19.03.2023,SMS,3
73,795,29,30.03.2023,01.04.2023,Email,0
90,796,48,07.05.2023,17.05.2023,MobPush,2
98,797,48,07.05.2023,17.05.2023,MobPush,1
62,798,20,12.03.2023,17.03.2023,SMS,3
3,799,25,22.03.2023,05.04.2023,Email,3
95,800,32,05.04.2023,16.04.2023,Email,1
58,801,23,18.03.2023,27.03.2023,SMS,0
58,802,16,04.03.2023,07.03.2023,SMS,0
90,803,46,03.05.2023,09.05.2023,MobPush,2
12,804,49,09.05.2023,24.05.2023,MobPush,0
14,805,23,18.03.2023,29.03.2023,SMS,2
2,806,5,10.02.2023,14.02.2023,MobPush,3
27,807,43,27.04.2023,10.05.2023,MobPush,2
52,808,4,08.02.2023,19.02.2023,WebPush,0
14,809,48,07.05.2023,10.05.2023,MobPush,1
27,810,22,16.03.2023,25.03.2023,SMS,0
40,811,3,06.02.2023,11.02.2023,Email,1
62,812,8,16.02.2023,18.02.2023,Viber,1
27,813,40,21.04.2023,28.04.2023,WebPush,2
1,814,49,09.05.2023,24.05.2023,MobPush,1
20,815,28,28.03.2023,30.03.2023,Email,3
26,816,6,12.02.2023,15.02.2023,Viber,3
26,817,7,14.02.2023,20.02.2023,Viber,2
12,818,18,08.03.2023,10.03.2023,SMS,1
67,819,8,16.02.2023,18.02.2023,Viber,0
48,820,35,11.04.2023,12.04.2023,WebPush,2
51,821,34,09.04.2023,23.04.2023,WebPush,2
65,822,15,02.03.2023,05.03.2023,Viber,2
15,823,11,22.02.2023,24.02.2023,Viber,1
47,824,40,21.04.2023,26.04.2023,WebPush,1
99,825,12,24.02.2023,02.03.2023,Viber,3
58,826,29,30.03.2023,02.04.2023,Email,0
42,827,6,12.02.2023,25.02.2023,Viber,3
97,828,31,03.04.2023,16.04.2023,Email,2
41,829,44,29.04.2023,14.05.2023,MobPush,0
41,830,47,05.05.2023,17.05.2023,MobPush,0
59,831,8,16.02.2023,17.02.2023,Viber,0
19,832,43,27.04.2023,03.05.2023,MobPush,2
37,833,20,12.03.2023,18.03.2023,SMS,1
24,834,13,26.02.2023,12.03.2023,Viber,1
68,835,40,21.04.2023,06.05.2023,WebPush,2
100,836,9,18.02.2023,21.02.2023,Viber,2
13,837,37,15.04.2023,18.04.2023,WebPush,1
14,838,21,14.03.2023,20.03.2023,SMS,2
89,839,33,07.04.2023,19.04.2023,Email,0
33,840,45,01.05.2023,08.05.2023,MobPush,0
17,841,24,20.03.2023,25.03.2023,SMS,2
61,842,18,08.03.2023,16.03.2023,SMS,3
46,843,38,17.04.2023,23.04.2023,WebPush,2
41,844,31,03.04.2023,04.04.2023,Email,1
98,845,19,10.03.2023,14.03.2023,SMS,2
99,846,3,06.02.2023,09.02.2023,Email,1
51,847,4,08.02.2023,15.02.2023,WebPush,0
48,848,49,09.05.2023,14.05.2023,MobPush,3
59,849,29,30.03.2023,12.04.2023,Email,2
75,850,2,04.02.2023,12.02.2023,SMS,3
61,851,33,07.04.2023,15.04.2023,Email,2
60,852,33,07.04.2023,19.04.2023,Email,1
51,853,49,09.05.2023,24.05.2023,MobPush,1
75,854,41,23.04.2023,08.05.2023,WebPush,2
19,855,26,24.03.2023,05.04.2023,Email,0
29,856,42,25.04.2023,09.05.2023,WebPush,1
96,857,6,12.02.2023,15.02.2023,Viber,1
62,858,50,11.05.2023,24.05.2023,MobPush,0
51,859,44,29.04.2023,12.05.2023,MobPush,2
42,860,15,02.03.2023,11.03.2023,Viber,3
25,861,31,03.04.2023,16.04.2023,Email,1
69,862,14,28.02.2023,10.03.2023,Viber,2
95,863,22,16.03.2023,21.03.2023,SMS,0
44,864,24,20.03.2023,22.03.2023,SMS,1
94,865,21,14.03.2023,26.03.2023,SMS,0
13,866,15,02.03.2023,11.03.2023,Viber,0
66,867,6,12.02.2023,25.02.2023,Viber,0
45,868,26,24.03.2023,08.04.2023,Email,1
75,869,24,20.03.2023,28.03.2023,SMS,2
98,870,24,20.03.2023,29.03.2023,SMS,2
2,871,33,07.04.2023,15.04.2023,Email,0
34,872,43,27.04.2023,12.05.2023,MobPush,1
84,873,48,07.05.2023,14.05.2023,MobPush,2
38,874,21,14.03.2023,23.03.2023,SMS,0
34,875,20,12.03.2023,13.03.2023,SMS,3
3,876,39,19.04.2023,01.05.2023,WebPush,1
64,877,48,07.05.2023,14.05.2023,MobPush,3
28,878,34,09.04.2023,11.04.2023,WebPush,0
12,879,9,18.02.2023,27.02.2023,Viber,1
14,880,39,19.04.2023,02.05.2023,WebPush,0
94,881,15,02.03.2023,07.03.2023,Viber,3
46,882,9,18.02.2023,21.02.2023,Viber,1
82,883,10,20.02.2023,26.02.2023,Viber,0
71,884,47,05.05.2023,08.05.2023,MobPush,2
79,885,29,30.03.2023,02.04.2023,Email,3
3,886,22,16.03.2023,28.03.2023,SMS,2
51,887,9,18.02.2023,25.02.2023,Viber,2
80,888,22,16.03.2023,21.03.2023,SMS,0
5,889,16,04.03.2023,09.03.2023,SMS,2
76,890,13,26.02.2023,27.02.2023,Viber,3
81,891,43,27.04.2023,04.05.2023,MobPush,1
95,892,17,06.03.2023,09.03.2023,SMS,3
83,893,27,26.03.2023,31.03.2023,Email,2
51,894,17,06.03.2023,11.03.2023,SMS,2
85,895,47,05.05.2023,16.05.2023,MobPush,2
22,896,11,22.02.2023,27.02.2023,Viber,2
64,897,27,26.03.2023,08.04.2023,Email,2
80,898,29,30.03.2023,02.04.2023,Email,2
20,899,29,30.03.2023,07.04.2023,Email,1
21,900,35,11.04.2023,21.04.2023,WebPush,3
56,901,42,25.04.2023,05.05.2023,WebPush,2
79,902,20,12.03.2023,21.03.2023,SMS,0
87,903,27,26.03.2023,31.03.2023,Email,0
67,904,10,20.02.2023,01.03.2023,Viber,3
25,905,19,10.03.2023,11.03.2023,SMS,1
87,906,11,22.02.2023,09.03.2023,Viber,0
23,907,30,01.04.2023,03.04.2023,Email,2
84,908,46,03.05.2023,14.05.2023,MobPush,3
12,909,7,14.02.2023,01.03.2023,Viber,3
99,910,43,27.04.2023,09.05.2023,MobPush,3
19,911,39,19.04.2023,30.04.2023,WebPush,2
1,912,13,26.02.2023,09.03.2023,Viber,1
4,913,48,07.05.2023,14.05.2023,MobPush,1
19,914,42,25.04.2023,27.04.2023,WebPush,2
65,915,15,02.03.2023,09.03.2023,Viber,2
38,916,34,09.04.2023,11.04.2023,WebPush,1
73,917,17,06.03.2023,11.03.2023,SMS,0
68,918,6,12.02.2023,14.02.2023,Viber,1
95,919,8,16.02.2023,22.02.2023,Viber,1
55,920,16,04.03.2023,15.03.2023,SMS,0
76,921,17,06.03.2023,15.03.2023,SMS,1
19,922,23,18.03.2023,20.03.2023,SMS,2
50,923,18,08.03.2023,15.03.2023,SMS,3
10,924,37,15.04.2023,17.04.2023,WebPush,0
62,925,10,20.02.2023,25.02.2023,Viber,2
17,926,38,17.04.2023,25.04.2023,WebPush,2
99,927,27,26.03.2023,04.04.2023,Email,0
34,928,36,13.04.2023,22.04.2023,WebPush,1
35,929,34,09.04.2023,11.04.2023,WebPush,0
12,930,36,13.04.2023,19.04.2023,WebPush,0
51,931,11,22.02.2023,28.02.2023,Viber,1
5,932,21,14.03.2023,17.03.2023,SMS,2
37,933,8,16.02.2023,20.02.2023,Viber,0
98,934,2,04.02.2023,19.02.2023,SMS,0
82,935,19,10.03.2023,25.03.2023,SMS,3
48,936,32,05.04.2023,18.04.2023,Email,1
2,937,36,13.04.2023,25.04.2023,WebPush,1
32,938,7,14.02.2023,01.03.2023,Viber,0
42,939,28,28.03.2023,30.03.2023,Email,0
80,940,9,18.02.2023,28.02.2023,Viber,3
63,941,1,02.02.2023,08.02.2023,Viber,2
100,942,22,16.03.2023,19.03.2023,SMS,0
62,943,39,19.04.2023,25.04.2023,WebPush,1
56,944,22,16.03.2023,29.03.2023,SMS,3
65,945,9,18.02.2023,01.03.2023,Viber,0
60,946,44,29.04.2023,12.05.2023,MobPush,1
61,947,20,12.03.2023,21.03.2023,SMS,2
68,948,32,05.04.2023,12.04.2023,Email,1
20,949,26,24.03.2023,08.04.2023,Email,1
91,950,36,13.04.2023,20.04.2023,WebPush,3
90,951,38,17.04.2023,21.04.2023,WebPush,2
30,952,17,06.03.2023,18.03.2023,SMS,2
60,953,23,18.03.2023,21.03.2023,SMS,3
68,954,1,02.02.2023,15.02.2023,Viber,1
70,955,1,02.02.2023,03.02.2023,Viber,0
26,956,34,09.04.2023,11.04.2023,WebPush,3
77,957,37,15.04.2023,16.04.2023,WebPush,1
79,958,8,16.02.2023,23.02.2023,Viber,1
66,959,20,12.03.2023,25.03.2023,SMS,0
27,960,10,20.02.2023,06.03.2023,Viber,0
47,961,20,12.03.2023,26.03.2023,SMS,2
66,962,28,28.03.2023,03.04.2023,Email,1
35,963,3,06.02.2023,15.02.2023,Email,0
32,964,36,13.04.2023,27.04.2023,WebPush,3
80,965,44,29.04.2023,05.05.2023,MobPush,3
31,966,21,14.03.2023,24.03.2023,SMS,2
20,967,1,02.02.2023,12.02.2023,Viber,2
90,968,47,05.05.2023,11.05.2023,MobPush,0
37,969,8,16.02.2023,28.02.2023,Viber,3
83,970,18,08.03.2023,13.03.2023,SMS,2
12,971,12,24.02.2023,01.03.2023,Viber,0
60,972,6,12.02.2023,17.02.2023,Viber,2
43,973,42,25.04.2023,10.05.2023,WebPush,3
65,974,25,22.03.2023,28.03.2023,Email,2
82,975,4,08.02.2023,22.02.2023,WebPush,0
36,976,4,08.02.2023,15.02.2023,WebPush,0
68,977,18,08.03.2023,14.03.2023,SMS,1
55,978,46,03.05.2023,04.05.2023,MobPush,2
19,979,29,30.03.2023,11.04.2023,Email,3
98,980,45,01.05.2023,12.05.2023,MobPush,0
32,981,39,19.04.2023,23.04.2023,WebPush,1
10,982,29,30.03.2023,02.04.2023,Email,3
13,983,3,06.02.2023,15.02.2023,Email,1
5,984,15,02.03.2023,07.03.2023,Viber,3
34,985,6,12.02.2023,14.02.2023,Viber,1
72,986,35,11.04.2023,14.04.2023,WebPush,2
43,987,10,20.02.2023,23.02.2023,Viber,3
1,988,4,08.02.2023,10.02.2023,WebPush,3
87,989,19,10.03.2023,13.03.2023,SMS,2
15,990,40,21.04.2023,22.04.2023,WebPush,0
69,991,2,04.02.2023,07.02.2023,SMS,0
66,992,1,02.02.2023,04.02.2023,Viber,1
30,993,34,09.04.2023,22.04.2023,WebPush,3
25,994,19,10.03.2023,11.03.2023,SMS,1
99,995,1,02.02.2023,13.02.2023,Viber,0
86,996,41,23.04.2023,25.04.2023,WebPush,0
18,997,34,09.04.2023,19.04.2023,WebPush,0
22,998,18,08.03.2023,20.03.2023,SMS,0
27,999,39,19.04.2023,29.04.2023,WebPush,3
